"","address","rent","name"
"1","3411 Old Vineyard Rd, Winston-Salem, NC 27103","$840 - 990","The Arlington"
"2","4981 Hunt Club Rd, Winston-Salem, NC 27104","$738 - 913","Arbors Apartments"
"3","206 N Green St, Winston-Salem, NC 27101","$1,865 - 2,310","West End Station"
"4","1600 W 1st St, Winston-Salem, NC 27104","$1,400 - 1,800","Edge Flats"
"5","730 Anson St, Winston-Salem, NC 27103","$685 - 875","The Residences at Diamond Ridge"
"6","3736 Kings Row, Winston-Salem, NC 27106","Call for Rent","Loxley Chase Apartments"
"7","4825 Wallburg Landing St, Winston-Salem, NC 27107","$995 - 1,415","Wallburg Landing"
"8","100 Morgan Way, Winston-Salem, NC 27127","$815 - 2,315","Morgan Ridge"
"9","2454 Hillcrest Center Cir, Winston-Salem, NC 27103","$910 - 2,290","Stratford at Hillcrest"
"10","5501 Belmont Dr, Winston-Salem, NC 27106","$1,159 - 1,499","BRAND NEW The Reserve at Brookberry Farm"
"11","3890 Old Vineyard Rd, Winston-Salem, NC 27104","$725 - 1,050","Alder Ridge Apartments"
"12","1010 Oak Grove Rd, Winston-Salem, NC 27103","$699 - 969","The Charleston"
"13","1805 Franciscan Ter, Winston-Salem, NC 27127","$709 - 1,089","The Arcadian"
"14","4190 Trace View Dr, Winston-Salem, NC 27106","$689 - 1,029","Sugar Creek"
"15","5749 Colin Village Way, Winston-Salem, NC 27106","$989 - 1,189","The Pointe at Robinhood Village"
"16","114 Willow Trace Cir, Clemmons, NC 27012","$850","Clemmons Trace Village Apartments"
"17","1461 Jag Branch Blvd, Kernersville, NC 27284","$1,049 - 1,479","The Reserve at Smith Crossing"
"18","530 N Patterson Ave, Winston-Salem, NC 27101","$1,383 - 2,864","Link Apartments® Innovation Quarter"
"19","1620 Woods Rd, Winston-Salem, NC 27106","$950","Trails At Bethabara"
"20","401 Park Ridge Ln, Winston-Salem, NC 27104","$1,048 - 1,221","Briarleigh Park"
"21","200 Brannigan Village Dr, Winston-Salem, NC 27127","$850 - 2,685","Brannigan Village Apartments"
"22","400 Hawk Ridge Dr, Winston-Salem, NC 27103","$715 - 1,560","Hawk Ridge"
"23","5003 Winster Dr, Winston-Salem, NC 27106","$880 - 2,145","Alaris Village Apartments"
"24","7013 Brandemere Ln, Winston-Salem, NC 27106","$775 - 1,639","Brandemere"
"25","240 Village Crossing Ln, Winston-Salem, NC 27104","$725 - 1,530","Glendare Park"
